Run time,Result for non chunking,Result for equal chunking   ,Result for manual chunking overlap,Result for LangChain,Result for LangChain overlap,Answer,,,,
Run 1,"Based on the provided documentation for Programming Fundamentals (COMP1005), I can see the assessment components as follows:

You will be assessed through:
1. A threshold quiz (ungraded) - this is a mandatory pass/fail assessment you must pass to continue in the subject
2. Portfolio (40% of your grade)
3. Quiz (20% of your grade)
4. Applied Project (20% of your grade)
5. Final Exam (20% of your grade)

The documentation shows that the threshold quiz is ungraded (meaning it doesn't count toward your final grade) but is required to pass the subject. The other assessments contribute to your final grade with the specified percentages.","Based on the provided documentation, I can see that Programming Fundamentals (COMP1005) has the following assessments:

1. Quiz - 30% of the total grade (mandatory)
2. Report - 30% of the total grade (mandatory)
3. Final Exam - 40% of the total grade (mandatory)

All assessments are marked out of 30 for the quiz and report, and 40 for the final exam. The grade scale used is ""Standard"" for all assessments.","Based on the provided documentation for Programming Fundamentals (COMP1005), students will be assessed through:

1. A Quiz (ungraded, worth 100% of the quiz score, scored out of 1)
2. A Portfolio (graded, worth 40% of the total, scored out of 40)

This information is found in the ""Assessments"" section of the Programming Fundamentals subject documentation.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio,quiz, applied project, and final exam ",,,,
Run 2,"Based on the provided documentation, I can answer your question about how you will be assessed in Programming Fundamentals.

In Programming Fundamentals (COMP1005), you will be assessed through the following:

1. Threshold quiz (ungraded, pass/fail) - This assessment is described as having a weighting of 100% but is ungraded with a score out of 1

2. Portfolio - 40% weighting (threshold assessment with 50% percentage)

3. Quiz - 20% weighting (standard assessment)

4. Applied Project - 20% weighting (standard assessment)

5. Final Exam - 20% weighting (threshold assessment with 50% percentage)

The documentation shows that these assessments cover all learning outcomes (SLO1-SLO5) and the total weighting adds up to 100%.","Based on the provided documentation, I can see the assessment details for Programming Fundamentals (COMP1005) in the ""Assessments"" section:

You will be assessed through:
- Quiz (30% of total marks): Mandatory, individual
- Report (30% of total marks): Mandatory, individual
- Final Exam (40% of total marks): Mandatory, individual

All assessments are mandatory and use the standard grading scale. The quiz, report, and final exam collectively cover all learning outcomes (SLOs) for the subject.","According to the provided documentation, in Programming Fundamentals (COMP1005), you will be assessed through:

1. A quiz with 100% weighting (S/U grading) - This is a mandatory assessment with a threshold percentage of 100.
2. A portfolio with 40% weighting (Standard grading) - This is also a mandatory assessment with a threshold percentage of 50.

These two components make up the full assessment for the course.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio,quiz, applied project, and final exam ",,,,
Run 3,"Based on the provided documentation for COMP1005 - Programming Fundamentals, I can see the following assessment components:

1. Quiz (Threshold) - Mandatory, S/U grading (Satisfactory/Unsatisfactory), 100% weighting with a score of 1 out of 1

2. Portfolio - Mandatory, 40% weighting, 50% percentage, scored out of 40

3. Quiz - Non-mandatory, 20% weighting, scored out of 20

4. Applied Project - Non-mandatory, 20% weighting, scored out of 20

5. Final Exam - Mandatory, 20% weighting, scored out of 20

These assessments cover all learning outcomes (SLOs) from the subject. The threshold quiz is a mandatory assessment that must be passed to progress in the subject, while the portfolio, applied project, and final exam are the main graded components that contribute to the final mark.","Based on the provided documentation, I can see the assessment information for Programming Fundamentals (COMP1005) under the ""Assessments"" section:

You will be assessed through:
1. Quiz - 30% of your final grade (Individual, Mandatory)
2. Report - 30% of your final grade (Individual, Mandatory)
3. Final Exam - 40% of your final grade (Individual, Mandatory)

This information is clearly stated in the documentation with the weightings, type, and requirements for each assessment component.","Based on the provided documentation, I can see that Programming Fundamentals (COMP1005) has the following assessments:

1. Quiz:
   - Weighting: 100% (Threshold Percentage)
   - Score: 1
   - Grade scale: Ungraded
   - Learning Outcomes: SLO1, SLO2, SLO3, SLO4

2. Portfolio:
   - Weighting: 40%
   - Score: 40
   - Grade scale: Standard
   - Learning Outcomes: SLO1, SLO2, SLO3, SLO4

The documentation shows these are the two main assessment components for Programming Fundamentals. The quiz is an ungraded pass/fail assessment, while the portfolio accounts for 40% of the overall assessment.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio,quiz, applied project, and final exam ",,,,
Run 4,"Based on the provided documentation, you will be assessed in Programming Fundamentals through the following components:

- A **pass/fail quiz** (threshold assessment, ungraded) - this serves as a pass/fail requirement with a score of 1 out of 1
- A **portfolio** (40% of the total grade)
- A **quiz** (20% of the total grade)
- An **applied project** (20% of the total grade)
- A **final exam** (20% of the total grade)

This breakdown ensures that the total weightings add up to 100% of your final grade (40% + 20% + 20% + 20% = 100%), with the pass/fail quiz acting as a threshold requirement rather than contributing to the graded percentage. The pass/fail quiz is designed to be ungraded (S/U - Satisfactory/Unsatisfactory), meaning it only determines if you meet the minimum pass requirement.","Based on the provided documentation, I can see that in Programming Fundamentals (COMP1005), you will be assessed through:

1. Quiz (30% weighting) - Individual, mandatory
2. Report (30% weighting) - Individual, mandatory
3. Final Exam (40% weighting) - Individual, mandatory

These assessments cover the learning outcomes SLO1 through SLO6, with the quiz and report focusing on SLO2, SLO3, and SLO4, while the final exam covers all six learning outcomes.","Based on the provided documentation, students in Programming Fundamentals (COMP1005) will be assessed through two components:

1. **Quiz**: 
   - Weighting: 100% (threshold assessment)
   - Score: Out of 1
   - Grade scale: Ungraded
   - Learning Outcomes: SLO1, SLO2, SLO3, SLO4

2. **Portfolio**: 
   - Weighting: 40% (threshold assessment)
   - Score: Out of 40
   - Grade scale: Standard
   - Learning Outcomes: SLO1, SLO2, SLO3, SLO4

This information is clearly documented in the ""Assessments"" section of the course details. Note that the quiz appears to be a threshold assessment with a single-point maximum score, and it is ungraded (meaning it does not contribute directly to the final grade). The portfolio is worth 40% of the total assessment and follows standard grading practices.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio, quiz, applied project, and final exam ",,,,
Run 5,"Based on the provided documentation for Programming Fundamentals (COMP1005), I can see the following assessments:

1. A threshold quiz (S/U grade) - 100% weighting
2. A portfolio - 40% weighting (50% of total possible)
3. A quiz - 20% weighting
4. An applied project - 20% weighting
5. A final exam - 20% weighting

These assessments cover all learning outcomes (SLOs 1-5) as specified in the subject documentation. The portfolio is the major assessment component at 40% of the total grade, with the final exam, quiz, and applied project each contributing 20% each. The threshold quiz is graded as S/U (Satisfactory/Unsatisfactory) with no percentage weighting.","Based on the provided documentation, in Programming Fundamentals (COMP1005), you will be assessed through the following:

1. Quiz - 30% of your final grade
   - Individual assessment
   - Mandatory
   - Worth 30 marks

2. Report - 30% of your final grade
   - Individual assessment
   - Mandatory
   - Worth 30 marks

3. Final Exam - 40% of your final grade
   - Individual assessment
   - Mandatory
   - Worth 40 marks

All assessments are mandatory and follow the standard grading scale. The quiz, report, and final exam cover different learning outcomes as specified in the documentation.","Based on the provided documentation, the assessments for **COMP1005 - Programming Fundamentals** are as follows:

1. **Quiz**  
   - **Weighting**: 100% (as indicated by ""Weighting Description: S/U"" which typically means ""Satisfactory/Unsatisfactory"" for pass/fail)  
   - **Score Range**: Out of 1 (binary pass/fail)  
   - **Grading**: Ungraded (does not contribute to the final grade)  
   - **Learning Outcomes**: SLO1, SLO2, SLO3, SLO4  

2. **Portfolio**  
   - **Weighting**: 40% of the assessment  
   - **Score Range**: Out of 40  
   - **Grading**: Standard grading (graded)  
   - **Threshold**: 50% of the score is required to pass  
   - **Learning Outcomes**: SLO1, SLO2, SLO3, SLO4  

### Clarification on Total Weighting  
The documentation shows the quiz as a 100% weighting but explicitly states it is **ungraded** (does not contribute to the final grade). The portfolio is explicitly graded and accounts for 40% of the assessment. The remaining 60% of the assessment is not detailed in the provided text, which may imply it is covered by other unlisted components (e.g., exams, projects, or coursework).  

### Summary  
For COMP1005, students must complete:  
- An **ungraded quiz** (pass/fail, score out of 1), and  
- A **graded portfolio** (40% of the assessment, score out of 40 with a 50% pass threshold).  

This structure suggests the course emphasizes practical application (portfolio) while using a pass/fail quiz for foundational assessment. The exact total weighting (e.g., 100% of the course grade) is not fully specified in the documentation, but the portfolio contributes 40% of the final grade.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio, quiz, applied project, and final exam ",,,,
Run 6,"Based on the provided documentation, I can see the assessment components for Programming Fundamentals (COMP1005) are:

1. Quiz (Threshold) - 100% weighting (S/U grade scale, pass/fail)
2. Portfolio - 40% weighting
3. Quiz - 20% weighting
4. Applied Project - 20% weighting
5. Final Exam - 20% weighting

These assessments cover the learning outcomes SLO1 through SLO5 (as described in the learning outcomes section). The documentation shows these components are structured with specific weightings, grading scales, and learning outcomes associated with each assessment.","Based on the provided documentation, I can see that students will be assessed in Programming Fundamentals through the following components:

1. Quiz (30% weighting)
2. Report (30% weighting)
3. Final Exam (40% weighting)

All assessments are mandatory, individual, and the grading uses a standard scale. The documentation shows these assessments cover the learning outcomes SLO1 through SLO6.","I don't have the answer.

The provided documentation shows assessment information for COMP3032 (a machine learning subject), not for COMP1005 (Programming Fundamentals). The text mentions ""Assessments"" with details about a Quiz and Portfolio, but these appear to be for COMP3032 rather than Programming Fundamentals. There is no clear section in the documentation that specifies how students will be assessed in Programming Fundamentals (COMP1005).",I don't have the answer.,I don't have the answer.,"Quiz, portfolio, quiz, applied project, and final exam ",,,,
Run 7,"Based on the provided documentation for COMP1005 - Programming Fundamentals, I can see the assessment components are as follows:

1. Quiz (S/U) - 100% weighting (pass/fail threshold assessment)
2. Portfolio - 40% weighting
3. Quiz - 20% weighting
4. Applied Project - 20% weighting
5. Final Exam - 20% weighting

The documentation shows these assessments cover all learning outcomes (SLO1-SLO5) and use a Standard Grading Mode. The first quiz is described as a threshold assessment with S/U grading (pass/fail) that's mandatory.","Based on the provided documentation, I can see the assessment information for Programming Fundamentals (COMP1005) in the ""Assessments"" section:

You will be assessed through:
- Quiz (30%): Mandatory, Individual
- Report (30%): Mandatory, Individual
- Final Exam (40%): Mandatory, Individual

These are the three assessment components with their respective weightings and requirements as documented.","Based on the documentation provided, students will be assessed for Programming Fundamentals (COMP1005) through two components:

1. **Quiz**: 
   - Pass/fail assessment (S/U)
   - Mandatory
   - Threshold percentage (100%)
   - Scored out of 1
   - Grade scale: Ungraded

2. **Portfolio**:
   - Weighting: 40% of the final grade
   - Mandatory
   - Threshold percentage (50%)
   - Scored out of 40
   - Grade scale: Standard

These are the two assessment components for Programming Fundamentals (COMP1005) as described in the documentation. The quiz is a pass/fail assessment, while the portfolio constitutes 40% of the final grade.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio, quiz, applied project, and final exam ",,,,
Run 8,"Based on the provided documentation for COMP1005 - Programming Fundamentals, I can see the assessment details under the ""Assessments"" section:

You will be assessed through the following components:

1. Quiz (Threshold) - 100% weighting (S/U pass/fail)
   - This is a mandatory threshold assessment that students must pass to proceed

2. Portfolio - 40% weighting
   - Mandatory threshold assessment

3. Quiz - 20% weighting
   - Not mandatory

4. Applied Project - 20% weighting
   - Not mandatory

5. Final Exam - 20% weighting
   - Mandatory threshold assessment

The total weighting adds up to 100% (40% + 20% + 20% + 20% = 100%), with the first quiz being a mandatory threshold assessment that students must pass to proceed with the subject.","Based on the provided documentation, I can see that in Programming Fundamentals (COMP1005), students will be assessed through three components:

1. Quiz - 30% weighting (Individual, Mandatory)
2. Report - 30% weighting (Individual, Mandatory)
3. Final Exam - 40% weighting (Individual, Mandatory)

This information is clearly stated in the ""Assessments"" section of the documentation.","Based on the provided documentation, I can see the assessment information for Programming Fundamentals (COMP1005). 

According to the documentation, you will be assessed through:

1. A Quiz - which is worth 100% of the assessment (scored out of 1), ungraded, mandatory, with threshold percentage requirements
2. A Portfolio - which is worth 40% of the assessment (scored out of 40), standard grading, mandatory, with threshold percentage requirements

These assessments cover the learning outcomes SLO1, SLO2, SLO3, and SLO4 for Programming Fundamentals.",I don't have the answer.,I don't have the answer.,"Quiz, portfolio, quiz, applied project, and final exam ",,,,
Run 9,"Based on the provided documentation, I can see the assessment information for Programming Fundamentals (COMP1005) in the ""Assessments"" section. 

According to the documentation, you will be assessed through the following components:

1. Quiz (S/U grade, 100% required, ungraded)
2. Portfolio (40% of the total grade, mandatory, threshold)
3. Quiz (20% of the total grade, not mandatory)
4. Applied Project (20% of the total grade, not mandatory)
5. Final Exam (20% of the total grade, mandatory, threshold)

These assessments cover all the learning outcomes for the subject (SLO1-SLO5) as specified in the documentation.","According to the provided documentation, I will be assessed in Programming Fundamentals through the following:

1. Quiz - 30% weight (individual, mandatory)
2. Report - 30% weight (individual, mandatory)
3. Final Exam - 40% weight (individual, mandatory)

These assessments cover the learning outcomes SLO1 through SLO6 as specified in the documentation.","Based on the provided documentation, students will be assessed in Programming Fundamentals (COMP1005) through two main components:

1. **Quiz**: This is an ungraded assessment (S/U grading) with a pass/fail outcome. It is mandatory and has a score of 1 (out of 1).

2. **Portfolio**: This assessment is worth 40% of the total marks for the subject. It is mandatory and has a score of 40 (out of 40).

This information is clearly stated in the ""Assessments"" section of the Programming Fundamentals subject description, where the quiz is described as having a ""Weighting (Description): S/U"" (pass/fail) and the portfolio as having a ""Weighting (%): 40"" (40% of total marks).

Therefore, the final answer is: Students will be assessed through a quiz (pass/fail) and a portfolio (worth 40% of the total marks).",I don't have the answer.,I don't have the answer.,"Quiz, portfolio,quiz, applied project, and final exam ",,,,
Run 9,"Based on the provided documentation, I can see the assessment information for Programming Fundamentals (COMP1005) in the ""Assessments"" section. 

According to the documentation, you will be assessed through the following components:

1. Quiz (S/U grade, 100% required, ungraded)
2. Portfolio (40% of the total grade, mandatory, threshold)
3. Quiz (20% of the total grade, not mandatory)
4. Applied Project (20% of the total grade, not mandatory)
5. Final Exam (20% of the total grade, mandatory, threshold)

These assessments cover all the learning outcomes for the subject (SLO1-SLO5) as specified in the documentation.","According to the provided documentation, I will be assessed in Programming Fundamentals through the following:

1. Quiz - 30% weight (individual, mandatory)
2. Report - 30% weight (individual, mandatory)
3. Final Exam - 40% weight (individual, mandatory)

These assessments cover the learning outcomes SLO1 through SLO6 as specified in the documentation.","Based on the provided documentation, students will be assessed in Programming Fundamentals (COMP1005) through two main components:

1. **Quiz**: This is an ungraded assessment (S/U grading) with a pass/fail outcome. It is mandatory and has a score of 1 (out of 1).

2. **Portfolio**: This assessment is worth 40% of the total marks for the subject. It is mandatory and has a score of 40 (out of 40).

This information is clearly stated in the ""Assessments"" section of the Programming Fundamentals subject description, where the quiz is described as having a ""Weighting (Description): S/U"" (pass/fail) and the portfolio as having a ""Weighting (%): 40"" (40% of total marks).

Therefore, the final answer is: Students will be assessed through a quiz (pass/fail) and a portfolio (worth 40% of the total marks).",I don't have the answer.,I don't have the answer.,"Quiz, portfolio, quiz, applied project, and final exam ",,,,
