Run 1,I don't have the answer.
Run 2,I don't have the answer.
Run 3,I don't have the answer.
Run 4,I don't have the answer.
Run 5,I don't have the answer.
Run 6,I don't have the answer.
Run 7,I don't have the answer.
Run 8,I don't have the answer.
Run 9,"Based on the provided documentation, MATH1014 (Mathematics 1A) has a credit point restriction. The documentation explicitly states: ""Students may take MATH1026 Quantitative Thinking or MATH1001 Analysis of Change BEFORE MATH1014 Mathematics 1A, but NOT after successfully completing MATH1014 Mathematics 1A."" This indicates that MATH1014 cannot be taken after successfully completing other subjects (MATH1001 or MATH1026), which constitutes a credit point restriction related to the order of enrollment.

While MATH1026 also has restrictions (it cannot be taken after completing MATH1001 or MATH1014), the primary subject highlighted in the context of credit point restrictions is MATH1014, as it is the higher-level subject with specific enrollment constraints.

**Answer: MATH1014**"
Run 10,"After carefully reviewing the provided documentation, I cannot find a specific answer to the question ""Which subjects have credit point restriction?"" 

The documentation mentions:
- MATH1014 has 10 credit points (in the ""Credit Points"" section).
- MATH1016 has 10 credit points (implied by the incompatibility statement).
- There is an incompatibility between MATH1014 and MATH1016 (stated as ""MATH1014 is incompatible with MATH1016"").
- MATH1014 has assumed knowledge requirements (equivalent to MATH1001).

However, the term ""credit point restriction"" is not explicitly defined or applied to any subject in the documentation. The documentation describes credit points for subjects and incompatibilities, but it does not state which subjects have restrictions on credit points (e.g., minimum or maximum credit points a student must have to take a subject). 

The question asks for ""which subjects have credit point restriction,"" but the documentation does not provide a clear list of subjects with such restrictions. While MATH1014 has assumed knowledge requirements that could be interpreted as credit point prerequisites, the documentation does not explicitly use the phrase ""credit point restriction"" or define it in this context.

Therefore, based on the provided information, I do not have the answer.

**Final Answer**: I don't have the answer."
Run 11,I don't have the answer.
