Run time,Result for non chunking,Result for equal chunking,Result for manual chunking overlap,Result for LangChain,Result for LangChain overlap,Answer,
Run 1,"Based on the documentation provided, I can see that the following subjects have specific offerings at the city campus (Sydney City Campus) instead of other campuses:

1. MATH1006 - Discrete Mathematics (offering: MATH1006-SC2-1-SC - Sydney City Campus)
2. COMP1014 - Thinking About Data (offering: COMP1014-SC2-1-SC - Sydney City Campus)

These are the only subjects explicitly mentioned in the documentation that have a ""Sydney City Campus"" option. The documentation shows that these subjects have different campus options (like Campbelltown, Penrith, and Parramatta South), but only the Sydney City Campus is listed as the city campus option.

The documentation indicates that these subjects have specific ""Sydney City Campus - Term 2"" offerings, which means you can take these subjects at the city campus instead of other campuses.","Based on the provided documentation, I can see that the following subjects have offerings at the Sydney City campus (which can be taken instead of other campuses like Vietnam):

- COMP1005 (available at Sydney City Campus for Term 2 and Term 3)
- COMP1013 (available at Sydney City Campus for Term 3)
- COMP3032 (available at Sydney City Campus for Term 1)

These subjects have both Sydney City campus options and Vietnam campus options (as indicated by ""UT"" for Vietnam sessions), so they are the subjects you can take at the city campus instead of other campuses.

The documentation shows that ""SC"" represents Sydney City campus and ""UT"" represents Vietnam campus for these courses.","Based on the provided documentation, I can see that the following subjects are offered at the Sydney City Campus (which is referred to as ""city campus"" in the context of this question):

1. COMP3002 - Applications of Big Data (offered in Term 3 at Sydney City Campus)
2. COMP1013 - Analytics Programming (offered in Term 3 at Sydney City Campus)

These are the subjects that have specific campus options, including the Sydney City Campus, so they can be taken at the city campus instead of other campuses (like Greater Noida, Surabaya, or Vietnam).

The documentation shows that both subjects are also offered at other campuses (Parramatta South, Surabaya, and Vietnam), but the Sydney City Campus is one of the available options for these courses.

Therefore, the subjects you can take at the city campus instead of other campuses are COMP3002 and COMP1013.",I don't have the answer.,I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 2,"Based on the documentation provided, I can see that the following subjects have specific offerings at the city campus (Sydney City Campus) instead of other campuses:

1. MATH1006 - Discrete Mathematics (offering: MATH1006-SC2-1-SC - Sydney City Campus)
2. COMP1014 - Thinking About Data (offering: COMP1014-SC2-1-SC - Sydney City Campus)

These are the only subjects explicitly mentioned in the documentation that have a ""Sydney City Campus"" option. The documentation shows that these subjects have different campus options (like Campbelltown, Penrith, and Parramatta South), but only the Sydney City Campus is listed as the city campus option.

The documentation indicates that these subjects have specific ""Sydney City Campus - Term 2"" offerings, which means you can take these subjects at the city campus instead of other campuses.","Based on the provided documentation, I can see that courses with ""SC"" in their code indicate they are available at the Sydney City Campus. The courses that can be taken at the city campus instead of other campuses (like Vietnam) are:

- COMP1005 (available at Sydney City Campus in Term 2 and Term 3)
- COMP1013 (available at Sydney City Campus in Term 3)
- COMP3032 (available at Sydney City Campus in Term 1)

These courses have ""SC"" in their code (e.g., COMP1005-SC2-1-SC, COMP1005-SC3-1-SC, COMP1013-SC3-1-SC, COMP3032-SC1-1-SC) which specifically indicate they are available at the Sydney City Campus, as opposed to courses with ""UT"" in their code (e.g., COMP1013-UT1-1-UE, COMP3032-UT1-1-UE) which are available at Vietnam.","Based on the provided documentation, I can see that the following subjects are offered at the Sydney City Campus (which is the city campus) instead of other campuses:

1. COMP3002 (Applications of Big Data) - offered for Term 3 at Sydney City Campus (SC)
2. COMP1013 (Analytics Programming) - offered for Term 3 at Sydney City Campus (SC)

These are the only subjects explicitly mentioned in the documentation as being available at the Sydney City Campus (with campus code ""SC"") instead of other campuses like Parramatta South (PS) or Surabaya (SU). Both subjects are offered on-site with English language instruction.","Based on the provided documentation, the only subject explicitly mentioned as being offered at the Sydney City campus (the city campus) is **COMP1005 (Programming Fundamentals)**. This is indicated by the course codes ""COMP1005-SC2-1-SC"" and ""COMP1005-SC3-1-SC"" under the Sydney City Campus offerings.

The documentation also shows that COMP1005 is a core subject required for Surabaya students, confirming that it is available at the Surabaya campus as well. Therefore, COMP1005 can be taken at the city campus (Sydney City) instead of other campuses, such as Surabaya.

No other subjects are explicitly listed as being specific to or exclusively available at the city campus in the documentation. Elective subjects are noted as being ""any subject offered by the University,"" but the documentation does not specify which electives are campus-specific.

Thus, the answer to the question ""Which subjects can I take at the city campus instead of other campuses?"" based on the provided information is:

**COMP1005 (Programming Fundamentals)**.","I don't have the answer. 

The documentation mentions that there is a Sydney City campus with specific course offerings (COMP1005-SC2-1-SC and COMP1005-SC3-1-SC), but it doesn't provide a comprehensive list of subjects that can be taken at the city campus instead of other campuses. The documentation mentions different campuses (Greater Noida and Surabaya) but doesn't clearly state which subjects are exclusive to the city campus or which subjects can be taken at the city campus instead of other campuses.","COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 3,"Based on the provided documentation, I can see that the following subjects have offerings at the Sydney City campus instead of other campuses:

1. MATH1014 - Mathematics 1A
   - Offered at Sydney City Campus (Term 2) with code ""MATH1014-SC2-1-SC"" (On-site mode)

2. COMP1014 - Thinking About Data
   - Offered at Sydney City Campus (Term 2) with code ""COMP1014-SC2-1-SC"" (On-site mode)

Both subjects have Sydney City campus options that you can choose instead of other campus locations (such as Campbelltown, Penrith, or Vietnam). The documentation shows these are specifically listed as ""Sydney City Campus"" offerings with on-site study mode.

So, you can take MATH1014 and COMP1014 at the city campus (Sydney City) instead of other campuses.","Based on the provided documentation, I can see that the subjects offered at the Sydney City Campus (instead of other campuses like Vietnam) are:

- COMP1005 (offered in Term 2 and Term 3 at Sydney City Campus)
- COMP1013 (offered in Term 3 at Sydney City Campus)
- COMP3032 (offered in Term 1 at Sydney City Campus)

The documentation shows these courses have ""SC"" in their code (indicating Sydney City Campus), while courses with ""UT"" in their code are offered in Vietnam. Therefore, these are the subjects that can be taken at the city campus instead of other campuses.

COMP1005, COMP1013, and COMP3032","Based on the provided documentation, I can see that the city campus mentioned in the document is ""Sydney City Campus."" 

The documentation shows two subjects that are specifically offered at Sydney City Campus:

1. COMP3002 - Applications of Big Data (offered in Term 3 as ""COMP3002-SC3-1-SC"")
2. COMP1013 - Analytics Programming (offered in Term 3 as ""COMP1013-SC3-1-SC"")

These are the only subjects explicitly listed as being available at the Sydney City Campus instead of other campuses (Parramatta South, Surabaya, or Vietnam locations) in the provided documentation.

So the answer is: COMP3002 (Applications of Big Data) and COMP1013 (Analytics Programming).",I don't have the answer.,I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 4,"Based on the documentation provided, I can see that the following subjects have specific offerings at the city campus (Sydney City Campus) instead of other campuses:

1. MATH1006 - Discrete Mathematics (offering: MATH1006-SC2-1-SC - Sydney City Campus)
2. COMP1014 - Thinking About Data (offering: COMP1014-SC2-1-SC - Sydney City Campus)

These are the only subjects explicitly mentioned in the documentation that have a ""Sydney City Campus"" option. The documentation shows that these subjects have different campus options (like Campbelltown, Penrith, and Parramatta South), but only the Sydney City Campus is listed as the city campus option.

The documentation indicates that these subjects have specific ""Sydney City Campus - Term 2"" offerings, which means you can take these subjects at the city campus instead of other campuses.","Based on the provided documentation, I can see that the following subjects can be taken at the Sydney City Campus instead of other campuses (specifically Vietnam sessions):

1. COMP1005 - Offered at Sydney City Campus for Term 2 and Term 3
2. COMP3032 - Offered at Sydney City Campus for Term 1

The documentation shows that COMP1005 and COMP3032 have Sydney City Campus options, while COMP1013 is only offered in Vietnam sessions. This information indicates that these specific courses can be taken at the city campus instead of other campuses (Vietnam sessions).

I don't see any other subjects listed in the documentation that have Sydney City Campus options compared to other campus locations.","Based on the provided documentation, I can see that the city campus refers to ""Sydney City"" campus.

The subjects that can be taken at the Sydney City campus instead of other campuses are:

1. COMP3002 (Applications of Big Data) - Offered as ""COMP3002-SC3-1-SC"" at Sydney City
2. COMP1013 (Analytics Programming) - Offered as ""COMP1013-SC3-1-SC"" at Sydney City

These are the only subjects explicitly listed with ""Sydney City"" as their location in the documentation. The documentation shows these subjects are available at the Sydney City campus with the code ""SC"" in the location identifier, while other campus locations include Parramatta South (PS), Surabaya (SU), and Vietnam (UE).",I don't have the answer.,I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 5,"Based on the documentation provided, I can see which subjects have the ""Sydney City"" campus option (which would be the city campus) instead of other campuses:

1. MATH1006 (Discrete Mathematics) - Has a Sydney City campus option: MATH1006-SC2-1-SC
2. COMP1014 (Thinking About Data) - Has a Sydney City campus option: COMP1014-SC2-1-SC

These are the only two subjects that have the ""Sydney City"" campus option listed in the documentation. The documentation shows that MATH1014 (Mathematics 1A) does not have a city campus option (its options are Campbelltown, Penrith, and Parramatta South).

Therefore, you can take **MATH1006 (Discrete Mathematics)** and **COMP1014 (Thinking About Data)** at the city campus (Sydney City) instead of other campuses.","Based on the provided documentation, the only subject explicitly listed with a **Sydney City Campus** offering is **COMP1005** (specifically for Term 2 and Term 3). The documentation shows:

- **COMP1005-SC2-1-SC**: Sydney City Campus, Term 2
- **COMP1005-SC3-1-SC**: Sydney City Campus, Term 3

In contrast, the other subjects (COMP1013 and COMP3032) are listed with **Vietnam campus** offerings (e.g., ""Vietnam Session 1"" and ""Vietnam Session 2/3"").

The question asks: *""Which subjects can I take at the city campus instead of other campuses?""* This implies identifying subjects that have the **city campus (Sydney City)** as an alternative option. The documentation does not indicate that any other subject has Sydney City Campus offerings. Therefore, **COMP1005** is the only subject that can be taken at the city campus based on the given information.

**Answer: COMP1005**","Based on the provided documentation, I can see that there are two subjects that have specific offerings at the Sydney City Campus (which appears to be the ""city campus"" mentioned in your question):

1. COMP3002 (Applications of Big Data) - Sydney City Campus offering: COMP3002-SC3-1-SC
2. COMP1013 (Analytics Programming) - Sydney City Campus offering: COMP1013-SC3-1-SC

These are the only subjects explicitly listed in the documentation with ""Sydney City"" as the campus location. The documentation shows that these subjects also have offerings at other campuses (Parramatta South, Surabaya, and Vietnam), but these are the subjects that can be taken at the city campus instead of other campuses.

So the answer is: COMP3002 (Applications of Big Data) and COMP1013 (Analytics Programming).","I don't have the answer. 

The documentation shows that COMP1005 is offered at Sydney City campus (with codes COMP1005-SC2-1-SC and COMP1005-SC3-1-SC), but it doesn't provide a comprehensive list of subjects that can be taken at the city campus instead of other campuses. The documentation mentions different campuses (Greater Noida, Surabaya) and specific courses for Surabaya students, but it doesn't explicitly state which subjects are available at the city campus versus other campuses for comparison purposes.",I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 6,"Based on the provided documentation, I can see that there are two subjects that have offerings at the Sydney City campus (which appears to be the ""city campus"" mentioned in your question):

1. MATH1006 - Discrete Mathematics (offering code: MATH1006-SC2-1-SC)
2. COMP1014 - Thinking About Data (offering code: COMP1014-SC2-1-SC)

These are the only two subjects explicitly listed with the ""SC"" (Sydney City) campus code in the documentation. 

The documentation shows that MATH1014 - Mathematics 1A does not have a Sydney City campus offering - it only has offerings for Campbelltown (CA) and Penrith (KW).

So to answer your question directly: You can take MATH1006 and COMP1014 at the city campus instead of other campuses.","Based on the provided documentation, I can see that COMP1013 and COMP3032 are the subjects that have offerings at the Sydney City campus (SC) as an alternative to Vietnam campus (UT) options.

Specifically:
- COMP1013 has Sydney City Campus (SC3) and Vietnam Session (UT1, UT2) offerings
- COMP3032 has Sydney City Campus (SC1) and Vietnam Session (UT1, UT3) offerings

These are the only subjects in the documentation that have both city campus and other campus (Vietnam) options. COMP1005 only shows Sydney City Campus offerings (SC2, SC3) without other campus options listed in the provided data.

Therefore, the subjects you can take at the city campus instead of other campuses (Vietnam) are COMP1013 and COMP3032.","Based on the provided documentation, I can see that the following subjects are offered at the Sydney City Campus (city campus) instead of other campuses:

1. COMP3002 - Applications of Big Data (offered for Term 3)
2. COMP1013 - Analytics Programming (offered for Term 3)

These subjects have specific campus codes indicating they are available at the Sydney City Campus:
- COMP3002-SC3-1-SC (Sydney City Campus - Term 3)
- COMP1013-SC3-1-SC (Sydney City Campus - Term 3)

The documentation shows these are the only subjects explicitly listed as being available at the Sydney City Campus in the provided information.","I don't have the answer.

The documentation shows that there are specific courses at the Sydney City campus (like COMP1005-SC2-1-SC for Term 2 and COMP1005-SC3-1-SC for Term 3), but it doesn't explicitly state which subjects can be taken at the city campus instead of other campuses. The documentation mentions that ""Elective Subjects can be any subject offered by the University"" but doesn't provide information about which specific subjects are exclusive to the city campus or can be taken as alternatives to other campuses.",I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 7,"Based on the provided documentation, I can see that there are two subjects that have specific offerings at the Sydney City campus instead of other campuses:

1. **MATH1006 - Discrete Mathematics** (Sydney City Campus - Term 2)
   - Offering code: MATH1006-SC2-1-SC
   - Location: Sydney City
   - Mode of Study: On-site

2. **COMP1014 - Thinking About Data** (Sydney City Campus - Term 2)
   - Offering code: COMP1014-SC2-1-SC
   - Location: Sydney City
   - Mode of Study: On-site

These are the only two subjects with specific Sydney City campus offerings listed in the documentation. The other subjects (MATH1014 - Mathematics 1A) only have offerings at Campbelltown, Penrith, or Parramatta South campuses, but not at Sydney City.","Based on the provided documentation, I can see that Western Sydney University offers courses with different campus locations. The documentation shows that courses with ""SC"" in their code indicate Sydney City campus offerings, while courses with ""UT"" indicate Vietnam campus offerings.

The subjects that can be taken at the city campus (Sydney City) instead of other campuses are:

- COMP1005 (Sydney City Campus for Term 2 and Term 3)
- COMP1013 (Sydney City Campus for Term 3)
- COMP3032 (Sydney City Campus for Term 1)

These courses have the ""SC"" prefix in their code indicating they are available at the Sydney City campus, as opposed to the Vietnam campus offerings (which have ""UT"" in their code).","Based on the provided documentation, I can see that the city campus refers to ""Sydney City Campus"" (SC).

The subjects that can be taken at the Sydney City Campus (city campus) instead of other campuses are:

1. COMP3002 (Applications of Big Data) - Offered as COMP3002-SC3-1-SC
2. COMP1013 (Analytics Programming) - Offered as COMP1013-SC3-1-SC

These subjects are explicitly listed in the documentation as being available at the Sydney City Campus (SC) location, with the ""SC"" code indicating this campus. The documentation shows that these subjects are also available at other campuses (Parramatta South, Surabaya, and Vietnam), but they can be taken at the city campus as an alternative option.",I don't have the answer.,I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 8,"Based on the provided documentation, I can see that there are two subjects that have specific offerings at the Sydney City Campus instead of other campuses:

1. MATH1006 - Discrete Mathematics (offered as MATH1006-SC2-1-SC)
2. COMP1014 - Thinking About Data (offered as COMP1014-SC2-1-SC)

These are the only subjects with explicit Sydney City Campus offerings in the documentation. The other subjects (MATH1014 - Mathematics 1A) only have offerings at Campbelltown, Penrith, and Parramatta South campuses, but not at Sydney City.

So you can take MATH1006 and COMP1014 at the city campus (Sydney City) instead of other campuses.","Based on the provided documentation, the subjects that can be taken at the city campus (Sydney City Campus) instead of other campuses (such as Vietnam) are:

- **COMP1005** (with Sydney City Campus offerings for Term 2 and Term 3)
- **COMP1013** (with Sydney City Campus offering for Term 3)
- **COMP3032** (with Sydney City Campus offering for Term 1)

These courses are explicitly identified with ""SC"" in their code (e.g., `COMP1005-SC2-1-SC`), indicating they are available at the Sydney City Campus. The documentation also shows that these courses have Vietnam session offerings (with ""UT"" in their code), confirming they are alternatives to other campuses.

Thus, the answer is: **COMP1005, COMP1013, and COMP3032**.","Based on the provided documentation, I can see that there are two subjects that have offerings at the Sydney City campus (which appears to be the ""city campus"" referenced in your question):

1. COMP3002 (Applications of Big Data) - with offering code: COMP3002-SC3-1-SC (Sydney City Campus)
2. COMP1013 (Analytics Programming) - with offering code: COMP1013-SC3-1-SC (Sydney City Campus)

These are the subjects that can be taken at the city campus (Sydney City) instead of other campuses like Parramatta South, Surabaya, or Vietnam.","I don't have the answer. 

The documentation shows that there are courses listed for Sydney City Campus (like COMP1005 for Term 2 and Term 3), but it doesn't specifically state which subjects can be taken at the city campus instead of other campuses. The documentation mentions that Surabaya students must complete certain core subjects and Greater Noida students have specific requirements, but it doesn't provide a clear comparison of campus-specific subjects or which subjects are available exclusively at the city campus versus other campuses.",I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 9,"Based on the provided documentation, I can see that the following subjects can be taken at the city campus instead of other campuses:

1. MATH1006 - Discrete Mathematics (has a ""Sydney City Campus"" option: MATH1006-SC2-1-SC)
2. COMP1014 - Thinking About Data (has a ""Sydney City Campus"" option: COMP1014-SC2-1-SC)

The documentation shows that MATH1014 - Mathematics 1A does not have a Sydney City campus option (it has Campbelltown and Penrith options instead).

So you can take MATH1006 and COMP1014 at the Sydney City campus instead of other campuses.","Based on the provided documentation, the subjects that can be taken at the city campus (Sydney City) instead of other campuses (Vietnam) are:

- COMP1005 (with Sydney City Campus offerings for Term 2 and Term 3)
- COMP1013 (with Sydney City Campus offering for Term 3)
- COMP3032 (with Sydney City Campus offering for Term 1)

The documentation shows that courses with ""SC"" prefixes indicate Sydney City campus offerings, while courses with ""UT"" prefixes indicate Vietnam campus offerings. These are the only courses explicitly mentioned with both campus options in the documentation.","Based on the provided documentation, I can see that at least two subjects are offered at the Sydney City Campus:

1. COMP3002 - Applications of Big Data (offered in Term 3 at Sydney City Campus)
2. COMP1013 - Analytics Programming (offered in Term 3 at Sydney City Campus)

These subjects are specifically listed with ""Location:Sydney City"" in the documentation, indicating they are available at the Sydney City Campus instead of other campuses like Greater Noida, Surabaya, or Parramatta South.

The documentation doesn't list any other subjects that are specifically available at the city campus (Sydney City Campus) as opposed to other campuses.",I don't have the answer.,"I don't have the answer.

The documentation shows that there is a Sydney City Campus with specific course offerings (like COMP1005-SC2-1-SC and COMP1005-SC3-1-SC), but it doesn't explicitly state which subjects can be taken at the city campus instead of other campuses. The documentation mentions that Surabaya students have different requirements and Greater Noida students have different requirements, but it doesn't provide clear information about which subjects are exclusive to the city campus versus other campuses.","COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
Run 10,"Based on the provided documentation, I can see that there are two subjects that can be taken at the city campus (Sydney City) instead of other campuses:

1. **MATH1006 - Discrete Mathematics** (offered at Sydney City campus with code MATH1006-SC2-1-SC)
2. **COMP1014 - Thinking About Data** (offered at Sydney City campus with code COMP1014-SC2-1-SC)

The documentation shows that these are the only subjects with specific ""Sydney City"" campus offerings. For comparison, MATH1014 (Mathematics 1A) only has offerings at Campbelltown (CA), Penrith (KW), and Parramatta South (PS) campuses, but no Sydney City campus option.

So you can take MATH1006 and COMP1014 at the Sydney City campus instead of other campuses.","Based on the provided documentation, I can see that the subjects with offerings at the Sydney City campus (instead of other campuses like Vietnam) are:

- COMP1005 (Sydney City Campus - Term 2 and Term 3)
- COMP1013 (Sydney City Campus - Term 3)
- COMP3032 (Sydney City Campus - Term 1)

These are the subjects that have a Sydney City campus option rather than Vietnam sessions as indicated in the documentation.","Based on the provided documentation, I can see that the city campus is referred to as ""Sydney City Campus"" in the subject offerings. 

The documentation shows that students can take the following subjects at the Sydney City Campus (instead of other campuses):

1. COMP3002 (Applications of Big Data) - with the code ""COMP3002-SC3-1-SC""
2. COMP1013 (Analytics Programming) - with the code ""COMP1013-SC3-1-SC""

These are the specific subjects that have an option for the Sydney City Campus location in the offerings. The documentation indicates that ""SC"" stands for ""Sydney City"" in the campus location codes, while other locations are labeled as ""PS"" (Parramatta South), ""SU"" (Surabaya), and ""UE"" (Vietnam).",I don't have the answer.,I don't have the answer.,"COMP1005, COMP1014, MATH1006, COMP1013, COMP2025, COMP2026, 
COMP3002,COMP3032, COMP3020, INFS2001, and INFO3019 ",
